Season,Race Name,Circuit,Location,Country,Date,Driver,Constructor,Final Position,Grid Position,Fastest Lap,Status
2000,Australian Grand Prix,Albert Park Grand Prix Circuit,Melbourne,Australia,2000-03-12,Schumacher,Ferrari,1,3,N/A,Finished
2000,Australian Grand Prix,Albert Park Grand Prix Circuit,Melbourne,Australia,2000-03-12,Barrichello,Ferrari,2,4,N/A,Finished
2000,Australian Grand Prix,Albert Park Grand Prix Circuit,Melbourne,Australia,2000-03-12,Schumacher,Williams,3,11,N/A,Finished
2000,Australian Grand Prix,Albert Park Grand Prix Circuit,Melbourne,Australia,2000-03-12,Villeneuve,BAR,4,8,N/A,Finished
2000,Australian Grand Prix,Albert Park Grand Prix Circuit,Melbourne,Australia,2000-03-12,Fisichella,Benetton,5,9,N/A,Finished
2000,Australian Grand Prix,Albert Park Grand Prix Circuit,Melbourne,Australia,2000-03-12,Zonta,BAR,6,16,N/A,Finished
2000,Australian Grand Prix,Albert Park Grand Prix Circuit,Melbourne,Australia,2000-03-12,Wurz,Benetton,7,14,N/A,Finished
2000,Australian Grand Prix,Albert Park Grand Prix Circuit,Melbourne,Australia,2000-03-12,Gené,Minardi,8,18,N/A,+1 Lap
2000,Australian Grand Prix,Albert Park Grand Prix Circuit,Melbourne,Australia,2000-03-12,Heidfeld,Prost,9,15,N/A,+2 Laps
2000,Australian Grand Prix,Albert Park Grand Prix Circuit,Melbourne,Australia,2000-03-12,Salo,Sauber,10,10,N/A,Disqualified
2000,Australian Grand Prix,Albert Park Grand Prix Circuit,Melbourne,Australia,2000-03-12,Button,Williams,11,21,N/A,Engine
2000,Australian Grand Prix,Albert Park Grand Prix Circuit,Melbourne,Australia,2000-03-12,Diniz,Sauber,12,19,N/A,Transmission
2000,Australian Grand Prix,Albert Park Grand Prix Circuit,Melbourne,Australia,2000-03-12,Mazzacane,Minardi,13,22,N/A,Gearbox
2000,Australian Grand Prix,Albert Park Grand Prix Circuit,Melbourne,Australia,2000-03-12,Frentzen,Jordan,14,5,N/A,Hydraulics
2000,Australian Grand Prix,Albert Park Grand Prix Circuit,Melbourne,Australia,2000-03-12,Trulli,Jordan,15,6,N/A,Engine
2000,Australian Grand Prix,Albert Park Grand Prix Circuit,Melbourne,Australia,2000-03-12,Alesi,Prost,16,17,N/A,Hydraulics
2000,Australian Grand Prix,Albert Park Grand Prix Circuit,Melbourne,Australia,2000-03-12,Häkkinen,McLaren,17,1,N/A,Engine
2000,Australian Grand Prix,Albert Park Grand Prix Circuit,Melbourne,Australia,2000-03-12,Verstappen,Arrows,18,13,N/A,Suspension
2000,Australian Grand Prix,Albert Park Grand Prix Circuit,Melbourne,Australia,2000-03-12,Coulthard,McLaren,19,2,N/A,Engine
2000,Australian Grand Prix,Albert Park Grand Prix Circuit,Melbourne,Australia,2000-03-12,de la Rosa,Arrows,20,12,N/A,Suspension
